"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Psmb10.1",4.77988566015552e-10,-0.300979213717082,0.274,0.308,1.54318608538121e-05,"1","Psmb10"
"Nme1.1",5.35965840204485e-10,-4.16486391148813,0.421,0.379,1.73036571510018e-05,"1","Nme1"
"Srrm2.1",6.21400903187612e-10,-1.51265483436563,0.734,0.693,2.00619281594121e-05,"1","Srrm2"
"Atp6v1g1.1",6.50706735896267e-10,-0.317614195558999,0.292,0.327,2.1008066968411e-05,"1","Atp6v1g1"
"Irf7.1",8.21404066725023e-10,-13.288510491409,0.108,0.085,2.65190302942174e-05,"1","Irf7"
"Atp5d.1",1.21059403268385e-09,-0.798927355605211,0.533,0.56,3.90840283451979e-05,"1","Atp5d"
"Kdm7a",1.25156774718624e-09,-0.252547852612784,0.187,0.218,4.04068647179078e-05,"1","Kdm7a"
"Actr3.1",1.5103412867248e-09,-15.6093607086646,0.634,0.654,4.87613684419103e-05,"1","Actr3"
"Sumo2.1",1.60349570599156e-09,-1.06530997136647,0.501,0.527,5.17688588679375e-05,"1","Sumo2"
"Hnrnph1",1.62764843825625e-09,-0.47472850927195,0.397,0.429,5.25486298291031e-05,"1","Hnrnph1"
"Dtx1.1",1.85381294296693e-09,-3.734763435124,0.291,0.253,5.98503508636873e-05,"1","Dtx1"
"Hnrnpab.1",2.30353759142634e-09,-2.33224617058316,0.436,0.397,7.43697111391993e-05,"1","Hnrnpab"
"Tmbim6.1",2.3041540305825e-09,-1.41930412838146,0.465,0.493,7.43896128773561e-05,"1","Tmbim6"
"Atp6v1b2.1",2.33312086068014e-09,-3.36583675899149,0.114,0.14,7.53248069870585e-05,"1","Atp6v1b2"
"Stk24",2.82911059743261e-09,-0.348863675112737,0.309,0.34,9.13378356381119e-05,"1","Stk24"
"Ikbkb",3.11750580401914e-09,-0.283087349405166,0.261,0.293,0.000100648674882758,"1","Ikbkb"
"Ppp1r14b.1",3.67081890140116e-09,-0.258422586278009,0.263,0.228,0.000118512388231736,"1","Ppp1r14b"
"Jak2.1",3.90199348476928e-09,-0.291777464671268,0.121,0.147,0.000125975859655776,"1","Jak2"
"Ndufa7.1",4.13702762434934e-09,-0.372327770027708,0.476,0.507,0.000133563936852118,"1","Ndufa7"
"Arpc4.1",4.1497017142442e-09,-0.411482767285071,0.335,0.366,0.000133973119844374,"1","Arpc4"
"Anxa6.1",4.25374186779285e-09,-1.48934824877285,0.442,0.401,0.000137332056201692,"1","Anxa6"
"Ppp1r15a.1",6.33429771856901e-09,-6.64151610179693,0.418,0.379,0.000204502801844,"1","Ppp1r15a"
"mt-Nd3",1.27624364479432e-08,-5.23218836174361,0.664,0.68,0.000412035260721846,"1","mt-Nd3"
"Eif5a.1",1.49589382455537e-08,3.83385624795442,0.479,0.503,0.000482949321257701,"1","Eif5a"
"Tnfrsf18.1",1.54437339598802e-08,-1.05242700341967,0.126,0.102,0.000498600950894733,"1","Tnfrsf18"
"Isg15.1",1.67816131566044e-08,-18.5267506497054,0.106,0.085,0.000541794380760973,"1","Isg15"
"Rin3",1.84734547855542e-08,-0.305422867290097,0.169,0.196,0.000596415487751619,"1","Rin3"
"Selenok.1",2.03834247659043e-08,-0.250888801747049,0.322,0.352,0.000658078868567219,"1","Selenok"
"Actg1.1",2.80768180299695e-08,-43.6146704944187,0.851,0.829,0.000906460070097566,"1","Actg1"
"Clk1",4.06109429520211e-08,-0.327281937550655,0.373,0.406,0.001311124293206,"1","Clk1"
"Eef1g.1",4.50481231567665e-08,-4.0801122067311,0.707,0.671,0.00145437865611621,"1","Eef1g"
"Sat1.1",6.01699257199861e-08,-18.7460284393647,0.239,0.264,0.00194258605186975,"1","Sat1"
"H2afv.1",6.21537799720268e-08,-5.69729185580326,0.348,0.376,0.00200663478639688,"1","H2afv"
"Metap2.1",6.51114338497507e-08,-0.272510893919576,0.226,0.254,0.0021021226418392,"1","Metap2"
"Atp5b.1",6.904806176812e-08,-1.49261560783665,0.574,0.537,0.00222921667418375,"1","Atp5b"
"Cox6b1.1",7.04073284231153e-08,-1.43459463911217,0.566,0.586,0.00227310059814028,"1","Cox6b1"
"Pomp.1",7.26761580622235e-08,-1.83812732082401,0.318,0.346,0.00234634976303889,"1","Pomp"
"Sqstm1.1",7.51030082620239e-08,-2.33536977278712,0.342,0.37,0.00242470062173944,"1","Sqstm1"
"Pa2g4.1",8.44017601751827e-08,-5.02283912777408,0.209,0.237,0.00272491082725577,"1","Pa2g4"
"Irf1.1",1.01595598277466e-07,-1.5625300518407,0.216,0.189,0.003280013890388,"1","Irf1"
"Ube2i.1",1.33109029909768e-07,-0.300823891416893,0.334,0.363,0.00429742503063685,"1","Ube2i"
"Srsf5.1",1.34384498535394e-07,-0.664228702149503,0.583,0.606,0.00433860353521518,"1","Srsf5"
"Mxd4.1",1.36032617421168e-07,-1.27029491750097,0.151,0.176,0.00439181305344241,"1","Mxd4"
"Fam107b.1",1.89201183766421e-07,-0.492605285147908,0.278,0.306,0.0061083602178989,"1","Fam107b"
